task_id,parent_wp,milestone,title,depends_on,status,base_commit,candidate_commit,merged_commit,task_card,review_ref,evidence_ref,docs_ref
BOOT-000,WP01,P01,Independent root commit and startup,NONE,accepted,NOT_APPLICABLE_EMPTY_REPOSITORY,cc4e94135a5b2709dc907ad799b95b9a4c511f73,NOT_APPLICABLE_DIRECT_BOOTSTRAP,tasks/BOOT-000.md,tasks/BOOT-000.md,tasks/BOOT-000.md,records/PROJECT_STATE.md
BOOT-001,WP01,P01,Import workflow package into isolated rewrite integration branch,BOOT-000,merged,cc4e94135a5b2709dc907ad799b95b9a4c511f73,7c5289bd0c7cfc6b0ac08bbdfad73e4b1b349ff1,880f59d86ae936b2c4968378bc6a0b08ba61092f,tasks/BOOT-001.md,records/BOOT-001_REVIEW_FOLLOWUP.md,records/TEST_EVIDENCE_INDEX.csv,tasks/BOOT-001.md
CP-001,WP01;WP25,P01,Repository/package skeleton and source CI,BOOT-001,merged,dce4e44b13ab19c65d8e9b67243bfeb72a15cdb2,2aafec4c15a8ea1f05a2a4d97268b8dd1e3fbbec,58cfa0d53abb002bd33cd185f56f62c9d830162c,tasks/CP-001.md,CP001-IR-2aafec4-E01H-v1;CP001-IR-58cfa0d-post-merge-v1;CP001-IR-32ecc89-PM-R01-final-v1,CP001-E01-PHASE2;CP001-E01-LOCK-REPRO;CP001-E01-SOURCE-READBACK;CP001-E01H-PR-CI;CP001-POSTMERGE-CI,docs/adr/0001-package-and-source-ci.md;docs/development/source-ci.md;records/PROJECT_STATE.md;records/SESSION_HANDOFF.md
CP-002,WP02,P02,Strict configuration parser and canonical defaults,CP-001,merged,32ecc8978c968e39d72391cde1ee97d931834ef9,f0d2d59e6edb0b7a1ccac8254bd0099788bb2ad1,0810b890928e61afa8d94f2f8d64e1c867203b29,tasks/CP-002.md,CP002-CPD12-IR1-01-FINAL-f0d2d59e-v1;CP002-CPD12-POST-MERGE-0810b890-v1;CP002-CPD12-AC01-d2c806c5-v1;CP002-CPD12-CLOSEOUT-PUB-HOSTED-d2c806c5-v1;CP002-CPD12-CLOSEOUT-POST-MERGE-a1efe3b2-v1,CP002-HG-FINAL;CP002-PR-CI;CP002-POSTMERGE-CI;CP002-CLOSEOUT-POSTMERGE-CI,docs/adr/0002-configuration-contract-and-canonicalization.md;docs/development/source-ci.md;docs/reference/configuration.md;records/PROJECT_STATE.md;records/SESSION_HANDOFF.md
CP-003,WP02;WP22,P02,Requirement graph and operation/result contract skeleton,CP-002,merged,a1efe3b27f3905d5ccf06aafcf31062e4b02aac3,dddc691ae2102ef3fe5c2d85d97db6c3d245f44e,0193528b54d803399b0e79e621c21fa9759a2a53,tasks/CP-003.md,CP003-CPD12-IR1R2-dddc691a-v1;CP003-CPD12-POST-MERGE-0193528b-v1,CP003-E01-SOURCE-dddc691a-v1;CP003-PUB01-PUSH-dddc691a-v1;CP003-PR-CI;CP003-POSTMERGE-CI,docs/adr/0003-requirement-graph-and-contract-boundaries.md;docs/reference/contracts.md;docs/reference/status-and-evidence.md;docs/development/source-ci.md;records/PROJECT_STATE.md;records/SESSION_HANDOFF.md
CP-004,WP03,P03,Owned filesystem and honest atomic publication,CP-003,planned,UNSET,UNSET,UNSET,tasks/CP-004.md,UNSET,UNSET,UNSET
CP-005,WP03,P03,Fixed subprocess context and secret-safe handoff,CP-004,planned,UNSET,UNSET,UNSET,tasks/CP-005.md,UNSET,UNSET,UNSET
CP-006,WP04,P04,Protected operation journal and crash-state fixtures,CP-005,planned,UNSET,UNSET,UNSET,tasks/CP-006.md,UNSET,UNSET,UNSET
CP-007,WP04;WP09,P04,Resource locks and finite process/output deadlines,CP-006,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-008,WP09;WP02,P04,Read-only planner and guided init parity,CP-007,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-009,WP09;WP04,P04,Restricted executor for one owned reversible fixture,CP-008,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-010,WP09;WP25;WP22,P04,First installed vertical slice and independent review,CP-009,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-011,WP05;WP22,P05,Ubuntu read-only discovery and preflight collectors,CP-010,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-012,WP06;WP09,P05,SSH administrator transition and recovery access,CP-011,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-013,WP06;WP09,P05,WireGuard management lifecycle and revocation,CP-012,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-014,WP07;WP09,P05,Continuous host and Docker firewall protection,CP-013,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-015,WP08;WP09,P05,Packages updates confinement and filesystem baseline,CP-014,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-016,WP04;WP08;WP09,P05,Single restart owner and complete host-handler qualification,CP-015,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-017,WP10;WP25,P06,Pinned release images templates and build trust,CP-016,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-018,WP10;WP03,P06,Stable Compose resources and generation activation,CP-017,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-019,WP11,P06,MariaDB lifecycle and scoped application privileges,CP-018,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
